episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
50,Q011,-0.01,4,2,accepted,1,0.25,9.363,658,210,74,0.006133,-0.548441,nan,-0.579059,-0.432129,-0.64777,True
51,Q027,0.3623,4,2,accepted,1,1.0,5.979,450,214,76,0.008876,-0.569714,nan,-0.606823,-0.443202,-0.649285,True
52,Q004,0.6587,4,2,accepted,1,1.0,3.612,403,218,78,0.004848,-0.57833,nan,-0.609617,-0.427085,-0.567075,True
53,Q011,-0.0086,4,2,accepted,1,0.25,7.582,642,222,80,0.005651,-0.588254,nan,-0.616589,-0.444994,-0.586484,True
54,Q017,0.5677,4,2,accepted,1,1.0,7.676,746,226,82,0.004793,-0.573728,nan,-0.625903,-0.464141,-0.61454,True
55,Q024,0.5872,4,2,accepted,1,1.0,6.734,557,230,84,0.004943,-0.574489,nan,-0.593837,-0.450829,-0.641346,True
56,Q033,0.5306,4,2,accepted,1,1.0,5.766,402,234,86,0.00968,-0.585612,nan,-0.567309,-0.441053,-0.688066,True
57,Q031,0.2068,4,2,accepted,1,0.5,8.695,620,238,88,0.00478,-0.592484,nan,-0.498392,-0.418768,-0.631975,True
58,Q017,0.5626,4,2,accepted,1,1.0,8.751,742,242,90,0.008576,-0.5905,nan,-0.57699,-0.446673,-0.642757,True
59,Q010,0.5894,4,2,accepted,1,1.0,6.299,454,246,92,0.009889,-0.620221,nan,-0.609257,-0.494117,-0.672085,True
60,Q036,0.5755,4,2,accepted,1,1.0,3.972,512,250,94,0.008903,-0.519109,nan,-0.494499,-0.403225,-0.591108,True
61,Q009,0.5122,4,2,accepted,1,1.0,3.348,166,254,96,0.011996,-0.536644,nan,-0.547416,-0.43908,-0.610483,True
62,Q022,0.3146,4,2,accepted,1,0.6667,5.073,503,258,98,0.015067,-0.606854,nan,-0.612314,-0.543593,-0.6587,True
63,Q030,0.55,4,2,accepted,1,1.0,5.667,489,262,100,0.006103,-0.576251,nan,-0.557009,-0.469725,-0.595202,True
