exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr,latency_sec,faithfulness,context_precision,context_recall,architecture,n_ok,n_total
0.0,0.35656487449458374,0.2775090366733868,0.9375,0.7317708333333333,0.8526041666666666,0.90625,17.22941875,,,,simple_hybrid_rag,64,64
0.0,0.3647539876003483,0.28176172984498404,1.0,0.9057971014492753,0.8710144927536231,0.9782608695652174,134.89715652173913,,,,final_arch,23,24
0.0,0.47457678274418924,0.42523212574761005,1.0,0.9,1.0,1.0,117.16966,,,,agentic_scholar,5,24
