epoch,mean_reward,mean_steps,mean_llm_calls,loss,actor_loss,supervisor_loss,agent_actor_loss,critic_loss,entropy,entropy_loss
4,-1.4435499999999999,7.25,5.5,0.047487422823905945,-0.8820214107118803,-0.06847242240248055,-0.8135489759774044,1.874400960988012,0.7691645786680025,-0.007691644902887015
8,-0.957875,6.25,5.0,-0.2417231947183609,-0.8433024597167968,-0.13330284118652344,-0.7099996185302735,1.2206002807617187,0.8720871734619141,-0.00872087299823761
10,-1.8896000000000004,6.5,5.0,1.2074276208877563,-2.1593478276179385,-0.38582398341252255,-1.773523917564979,6.754187363844651,1.0318264594444861,-0.010318264365196228
