epoch,mean_reward,mean_steps,mean_llm_calls,loss,actor_loss,supervisor_loss,agent_actor_loss,critic_loss,entropy,entropy_loss
4,-0.2933,5.25,3.5,0.5567135810852051,-0.10773059300013951,0.0,-0.10773059300013951,1.3406902494884672,0.5900920686267671,-0.005900920501777104
8,-0.971425,7.0,4.5,0.6711306571960449,-0.5235283034188407,0.0,-0.5235283034188407,2.4009083339146207,0.579521792275565,-0.00579521751829556
10,-1.16675,6.5,4.0,0.7724653482437134,-0.6378220778245193,0.0,-0.6378220778245193,2.8316415640024037,0.5533385643592248,-0.005533385735291701
